day|type|month|dur|int%|structure
508|polarized|26|60|70|1x1980/-
509|towers|26|40|75|5x60/-
510|interval|26|42|85|5x180/120
511|interval|26|42|85|8x60/120
512|towers|26|40|75|3x120/-
513|endurance|26|55|70|1x3300/-
514|ascending|26|26|90|10x30/30
515|towers|26|40|75|4x90/-
516|towers|26|40|75|4x120/-
517|max_aerobic_power|26|36|85|12x90/90
518|polarized|26|60|70|1x2700/-
519|towers|26|40|75|5x60/-
520|interval|26|42|85|6x180/60
521|time_trial|27|10|0|1x600/-
522|towers|27|40|75|3x120/-
523|endurance|27|55|70|1x3300/-
524|interval|27|42|85|10x120/60
525|towers|27|40|75|4x90/-
526|towers|27|40|75|4x120/-
527|max_aerobic_power|27|36|85|3x300/300
528|polarized|27|60|70|1x1800/-
529|towers|27|40|75|5x60/-
530|interval|27|42|85|6x180/120
531|interval|27|42|85|10x60/120
532|towers|27|40|75|3x120/-
533|endurance|27|60|70|1x3600/-
534|ascending|27|28|90|10x90/90
535|towers|27|40|75|4x90/-
536|towers|27|40|75|4x120/-
537|max_aerobic_power|27|36|85|24x30/30
538|polarized|27|60|70|1x2880/-
539|towers|27|40|75|5x60/-
540|interval|27|42|85|8x180/60
541|time_trial|28|10|0|1x600/-
542|afterburner|28|36|80|4x15/45
543|endurance|28|45|70|1x2700/-
544|interval|28|32|85|16x90/30
545|afterburner|28|37|80|3x30/90
546|afterburner|28|38|80|4x15/45
547|polarized|28|56|70|1x2700/-
548|interval|28|34|85|17x100/33
549|afterburner|28|39|80|3x30/90
550|endurance|28|50|70|1x3000/-
551|afterburner|28|40|80|4x15/45
552|interval|28|36|85|18x110/37
553|polarized|28|58|70|1x1800/-
554|afterburner|28|41|80|3x30/90
555|interval|28|38|85|19x120/40
556|afterburner|28|42|80|4x15/45
557|endurance|28|50|70|1x3000/-
558|interval|28|40|85|20x130/43
559|afterburner|28|42|80|3x30/90
560|polarized|28|60|70|1x2880/-
561|time_trial|29|10|0|1x600/-
562|afterburner|29|42|80|5x15/45
563|endurance|29|55|70|1x3300/-
564|interval|29|40|85|20x140/47
565|afterburner|29|42|80|4x30/90
566|afterburner|29|42|80|5x15/45
567|polarized|29|60|70|1x2340/-
568|interval|29|42|85|20x150/50
569|afterburner|29|42|80|4x30/90
570|endurance|29|55|70|1x3300/-
571|afterburner|29|42|80|5x15/45
572|interval|29|42|85|20x160/53
573|polarized|29|60|70|1x2700/-
574|afterburner|29|42|80|4x30/90
575|interval|29|42|85|20x170/57
576|afterburner|29|42|80|5x15/45
577|endurance|29|60|70|1x3600/-
578|interval|29|42|85|20x180/60
579|afterburner|29|42|80|4x30/90
580|polarized|29|60|70|1x2160/-
581|time_trial|30|10|0|1x600/-
582|afterburner|30|42|80|6x15/45
583|endurance|30|60|70|1x3600/-
584|interval|30|42|85|20x190/63
585|afterburner|30|42|80|4x30/90
586|afterburner|30|42|80|6x15/45
587|polarized|30|60|70|1x2880/-
588|interval|30|42|85|20x200/67
589|afterburner|30|42|80|4x30/90
590|endurance|30|60|70|1x3600/-
591|afterburner|30|42|80|6x15/45
592|interval|30|42|85|20x210/70
593|polarized|30|60|70|1x1980/-
594|afterburner|30|42|80|4x30/90
595|interval|30|42|85|20x220/73
596|afterburner|30|42|80|6x15/45
597|endurance|30|60|70|1x3600/-
598|interval|30|42|85|20x230/77
599|afterburner|30|42|80|4x30/90
600|polarized|30|60|70|1x3060/-
601|time_trial|31|10|0|1x600/-
602|atomic|?|?|?|5x8/52
603|polarized|31|60|70|1x2160/-
604|interval|31|36|95|6x120/60
605|atomic|?|?|?|6x8/52
606|atomic|?|?|?|7x8/52
607|flux_stages|31|42|70|1x1620/-
608|endurance|31|55|70|1x3300/-
609|atomic|?|?|?|8x8/52
610|interval|31|36|95|4x180/120
611|flux_stages|31|42|70|1x1800/-
612|atomic|?|?|?|5x8/52
613|polarized|31|60|70|1x2520/-
614|interval|31|36|95|6x60/120
615|atomic|?|?|?|6x8/52
616|atomic|?|?|?|7x8/52
617|flux_stages|31|42|70|1x1980/-
618|endurance|31|55|70|1x3300/-
619|atomic|?|?|?|8x8/52
620|interval|31|36|95|5x180/60
621|time_trial|32|10|0|1x600/-
622|atomic|?|?|?|5x10/50
623|polarized|32|60|70|1x1980/-
624|interval|32|36|95|8x120/60
625|atomic|?|?|?|6x10/50
626|atomic|?|?|?|7x10/50
627|flux_stages|32|42|70|1x1980/-
628|endurance|32|58|70|1x3480/-
